iter	Passed	Remaining
0	2	215
1	3	179
2	5	165
3	6	154
4	8	154
5	9	152
6	11	149
7	12	146
8	14	144
9	15	143
10	17	143
11	19	140
12	20	137
13	21	131
14	22	126
15	23	120
16	23	115
17	24	110
18	24	106
19	25	102
20	26	98
21	26	94
22	27	91
23	28	88
24	28	86
25	29	83
26	30	81
27	30	78
28	31	77
29	32	75
30	33	73
31	33	72
32	34	70
33	35	68
34	35	66
35	36	65
36	37	63
37	37	61
38	38	59
39	38	58
40	39	56
41	39	55
42	40	53
43	41	52
44	41	51
45	42	49
46	43	48
47	43	47
48	44	46
49	44	44
50	45	43
51	46	43
52	47	41
53	47	40
54	48	39
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	63	25
71	63	24
72	65	24
73	66	23
74	67	22
75	69	21
76	70	21
77	71	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	79	15
84	80	14
85	82	13
86	83	12
87	84	11
88	86	10
89	87	9
90	89	8
91	90	7
92	91	6
93	93	5
94	94	4
95	96	4
96	97	3
97	99	2
98	100	1
99	101	0
